Name,Type,Description,Location
Oregon,National Historic Trail," Imagine yourself an emigrant headed for Oregon: would promises of lush farmlands and a new beginning lure you to leave home and walk for weeks? More than 2,000 miles of trail ruts and traces can still be seen along the Oregon National Historic Trail in six states and serve as reminders of the sacrifices, struggles, and triumphs of early American settlers. ","Various States ID,KS,MO,NE,OR,WA,WY"
Yellowstone,National Park," On March 1, 1872, Yellowstone became the first national park for all to enjoy the unique hydrothermal wonders. Preserved within are Earth's most active and diverse geysers, hot springs, mudpots, and fumaroles. ","Yellowstone National Park, ID,MT,WY"
Lewis & Clark,National Historic Trail," Between May 1804 and September 1806, 31 men, one woman, and a baby traveled from the plains of the Midwest to the shores of the Pacific Ocean. They called themselves the Corps of Discovery. In their search for a water route to the Pacific Ocean, they opened a window into the west for the young United States. Read the Lewis and Clark Pups blog, the Newfie News! ","Eleven States: ID,IL,IA,KS,MO,MT,NE,ND,OR,SD,WA"
Lincoln Home,National Historic Site," Abraham Lincoln believed in the ideal that everyone in America should have the opportunity to improve his/her economic and social condition.  Lincoln’s life was the embodiment of that idea.  We know him as the sixteenth president but he was also a spouse, parent, and neighbor who experienced the same hopes, dreams, and challenges of life that are still experienced by many people. ","Springfield, IL"
Mormon Pioneer,National Historic Trail," Explore the Mormon Pioneer National Historic Trail across five states to see the 1,300-mile route traveled by Mormons who fled Nauvoo, Illinois, to the Great Salt Lake Valley in 1846-1847. ","Various States IL,IA,NE,UT,WY"
Pullman,National Monument," In a growing Chicago neighborhood, diverse people and stories intertwine. All were seeking opportunity. Some succeeded. Others were limited—by race, gender, or economic status. Their stories came together in Pullman, a planned community famed for its urban design and architecture. ","Chicago, IL"
Trail Of Tears,National Historic Trail," Remember and commemorate the survival of the Cherokee people, forcefully removed from their homelands in Georgia, Alabama, and Tennessee to live in Indian Territory, now Oklahoma. They traveled by foot, horse, wagon, or steamboat in 1838-1839. ","AL,AR,GA,IL,KY,MO,NC,OK,TN"
George Rogers Clark,National Historical Park," The British flag would not be raised above Fort Sackville Feb. 25, 1779. At 10 a.m., the garrison surrendered to American Colonel George Rogers Clark. His American army, aided by French residents of the Illinois country, had marched through freezing floodwaters to gain this victory. The fort’s capture assured United States claims to the frontier, an area nearly as large as the original 13 states. ","Vincennes, IN"
Indiana Dunes,National Park," Indiana Dunes National Park hugs 15 miles of the southern shore of Lake Michigan and has much to offer. Whether you enjoy scouting for rare species of birds or flying kites on the sandy beach, the national park's 15,000 acres will continually enchant you.  Hikers will enjoy 50 miles of trails over rugged dunes, mysterious wetlands, sunny prairies, meandering rivers and peaceful forests. ","Porter, IN"
Lincoln Boyhood,National Memorial, Abraham Lincoln grew from youth to manhood on this southern Indiana soil.  Many character and moral traits of one of the world's most respected leaders was formed and nurtured here.  Explore Lincoln's boyhood and learn about the boy who would one day become the leader of our nation. ,"Lincoln City, IN"
Effigy Mounds,National Monument," The mounds preserved here are considered sacred by many Americans, especially the Monument's 20 culturally associated American Indian tribes. A visit offers opportunities to contemplate the meanings of the mounds and the people who built them. The 200 plus American Indian mounds are located in one of the most picturesque sections of the Upper Mississippi River Valley. ","Harpers Ferry, IA"
Herbert Hoover,National Historic Site," Orphaned at age nine, Herbert Hoover left West Branch never to live here again. In later years, he returned to his humble birthplace to celebrate his long career of public service. A memorial landscape remains to tell his story: how community, hard work, honesty, and usefulness to others opened a world of opportunity— and the presidency of the United States— to a child of simple beginnings. ","West Branch, IA"
Lewis & Clark,National Historic Trail," Between May 1804 and September 1806, 31 men, one woman, and a baby traveled from the plains of the Midwest to the shores of the Pacific Ocean. They called themselves the Corps of Discovery. In their search for a water route to the Pacific Ocean, they opened a window into the west for the young United States. Read the Lewis and Clark Pups blog, the Newfie News! ","Eleven States: ID,IL,IA,KS,MO,MT,NE,ND,OR,SD,WA"
Mormon Pioneer,National Historic Trail," Explore the Mormon Pioneer National Historic Trail across five states to see the 1,300-mile route traveled by Mormons who fled Nauvoo, Illinois, to the Great Salt Lake Valley in 1846-1847. ","Various States IL,IA,NE,UT,WY"
Brown v. Board of Education,National Historic Site," The story of Brown v. Board of Education, which ended legal segregation in public schools, is one of hope and courage. When the people agreed to be plaintiffs in the case, they never knew they would change history. The people who make up this story were ordinary people. They were teachers, secretaries, welders, ministers and students who simply wanted to be treated equally. ","Topeka, KS"
California,National Historic Trail," Follow in the footsteps of over 250,000 emigrants who traveled to the gold fields and rich farmlands of California during the 1840s and 1850s: the greatest mass migration in American history. The California National Historic Trail is over 5,000 miles long and covers portions of 10 states. Step into history along more than 1,000 miles of ruts and traces from travelers and their overland wagons. ","Various States CA,CO,ID,KS,MO,NE,NV,OR,UT,WY"
